Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Sun, Nov 1, 2015",2:00p,Atlanta Hawks,94,Charlotte Hornets,92,Box Score,,18691,
"Sun, Nov 1, 2015",3:30p,San Antonio Spurs,95,Boston Celtics,87,Box Score,,17461,
"Sun, Nov 1, 2015",6:00p,Houston Rockets,89,Miami Heat,109,Box Score,,19600,
"Sun, Nov 1, 2015",6:00p,Milwaukee Bucks,87,Toronto Raptors,106,Box Score,,19800,
"Sun, Nov 1, 2015",7:00p,Orlando Magic,87,Chicago Bulls,92,Box Score,,21585,
"Sun, Nov 1, 2015",7:00p,Denver Nuggets,93,Oklahoma City Thunder,117,Box Score,,18203,
"Sun, Nov 1, 2015",9:30p,Dallas Mavericks,103,Los Angeles Lakers,93,Box Score,,18997,
"Mon, Nov 2, 2015",7:00p,Cleveland Cavaliers,107,Philadelphia 76ers,100,Box Score,,18094,
"Mon, Nov 2, 2015",7:30p,Milwaukee Bucks,103,Brooklyn Nets,96,Box Score,,12576,
"Mon, Nov 2, 2015",7:30p,San Antonio Spurs,94,New York Knicks,84,Box Score,,19812,
"Mon, Nov 2, 2015",8:00p,Oklahoma City Thunder,105,Houston Rockets,110,Box Score,,17224,
"Mon, Nov 2, 2015",8:00p,Portland Trail Blazers,106,Minnesota Timberwolves,101,Box Score,,18903,
"Mon, Nov 2, 2015",10:30p,Memphis Grizzlies,69,Golden State Warriors,119,Box Score,,19596,
"Mon, Nov 2, 2015",10:30p,Phoenix Suns,96,Los Angeles Clippers,102,Box Score,,19060,
"Tue, Nov 3, 2015",7:00p,Chicago Bulls,105,Charlotte Hornets,130,Box Score,,15136,
"Tue, Nov 3, 2015",7:30p,Indiana Pacers,94,Detroit Pistons,82,Box Score,,13325,
"Tue, Nov 3, 2015",7:30p,Atlanta Hawks,98,Miami Heat,92,Box Score,,19600,
"Tue, Nov 3, 2015",8:00p,Orlando Magic,103,New Orleans Pelicans,94,Box Score,,16876,
"Tue, Nov 3, 2015",8:30p,Toronto Raptors,102,Dallas Mavericks,91,Box Score,,20034,
"Tue, Nov 3, 2015",10:00p,Memphis Grizzlies,103,Sacramento Kings,89,Box Score,,17317,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Nov 3, 2015",10:30p,Denver Nuggets,120,Los Angeles Lakers,109,Box Score,,18997,
"Wed, Nov 4, 2015",7:00p,Boston Celtics,98,Indiana Pacers,100,Box Score,,14022,
"Wed, Nov 4, 2015",7:00p,San Antonio Spurs,99,Washington Wizards,102,Box Score,,17721,
"Wed, Nov 4, 2015",8:00p,Brooklyn Nets,87,Atlanta Hawks,101,Box Score,,14044,
"Wed, Nov 4, 2015",8:00p,New York Knicks,86,Cleveland Cavaliers,96,Box Score,,20562,
"Wed, Nov 4, 2015",8:00p,Orlando Magic,114,Houston Rockets,119,Box Score,OT,16735,
"Wed, Nov 4, 2015",8:00p,Philadelphia 76ers,87,Milwaukee Bucks,91,Box Score,,12437,
"Wed, Nov 4, 2015",8:00p,Toronto Raptors,103,Oklahoma City Thunder,98,Box Score,,18203,
"Wed, Nov 4, 2015",9:00p,Sacramento Kings,97,Phoenix Suns,118,Box Score,,16497,
"Wed, Nov 4, 2015",9:00p,Portland Trail Blazers,108,Utah Jazz,92,Box Score,,19911,
"Wed, Nov 4, 2015",10:30p,Los Angeles Clippers,108,Golden State Warriors,112,Box Score,,19596,
"Thu, Nov 5, 2015",8:00p,Oklahoma City Thunder,98,Chicago Bulls,104,Box Score,,21861,
"Thu, Nov 5, 2015",8:00p,Miami Heat,96,Minnesota Timberwolves,84,Box Score,,11794,
"Thu, Nov 5, 2015",8:30p,Charlotte Hornets,108,Dallas Mavericks,94,Box Score,,19635,
"Thu, Nov 5, 2015",9:00p,Utah Jazz,96,Denver Nuggets,84,Box Score,,9906,
"Thu, Nov 5, 2015",10:30p,Memphis Grizzlies,96,Portland Trail Blazers,115,Box Score,,19393,
"Fri, Nov 6, 2015",7:00p,Toronto Raptors,87,Orlando Magic,92,Box Score,,16578,
"Fri, Nov 6, 2015",7:30p,Washington Wizards,98,Boston Celtics,118,Box Score,,18624,
"Fri, Nov 6, 2015",7:30p,Los Angeles Lakers,104,Brooklyn Nets,98,Box Score,,17732,
"Fri, Nov 6, 2015",7:30p,Philadelphia 76ers,102,Cleveland Cavaliers,108,Box Score,,20562,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Fri, Nov 6, 2015",7:30p,Milwaukee Bucks,99,New York Knicks,92,Box Score,,19812,
"Fri, Nov 6, 2015",8:00p,Miami Heat,87,Indiana Pacers,90,Box Score,,16914,
"Fri, Nov 6, 2015",8:00p,Atlanta Hawks,121,New Orleans Pelicans,115,Box Score,,16983,
"Fri, Nov 6, 2015",9:30p,Detroit Pistons,100,Phoenix Suns,92,Box Score,,16676,
"Fri, Nov 6, 2015",10:30p,Denver Nuggets,104,Golden State Warriors,119,Box Score,,19596,
"Fri, Nov 6, 2015",10:30p,Houston Rockets,116,Sacramento Kings,110,Box Score,,16983,
"Sat, Nov 7, 2015",6:00p,Minnesota Timberwolves,102,Chicago Bulls,93,Box Score,OT,21988,
"Sat, Nov 7, 2015",7:00p,Orlando Magic,105,Philadelphia 76ers,97,Box Score,,15207,
"Sat, Nov 7, 2015",7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,18047,
"Sat, Nov 7, 2015",8:30p,New Orleans Pelicans,98,Dallas Mavericks,107,Box Score,,20454,
"Sat, Nov 7, 2015",8:30p,Brooklyn Nets,86,Milwaukee Bucks,94,Box Score,,15228,
"Sat, Nov 7, 2015",8:30p,Charlotte Hornets,94,San Antonio Spurs,114,Box Score,,18418,
"Sat, Nov 7, 2015",9:00p,Memphis Grizzlies,79,Utah Jazz,89,Box Score,,19456,
"Sat, Nov 7, 2015",10:00p,Golden State Warriors,103,Sacramento Kings,94,Box Score,,17317,
"Sat, Nov 7, 2015",10:30p,Houston Rockets,109,Los Angeles Clippers,105,Box Score,,19361,
"Sun, Nov 8, 2015",3:30p,Indiana Pacers,97,Cleveland Cavaliers,101,Box Score,,20562,
"Sun, Nov 8, 2015",3:30p,Los Angeles Lakers,95,New York Knicks,99,Box Score,,19812,
"Sun, Nov 8, 2015",6:00p,Toronto Raptors,76,Miami Heat,96,Box Score,,19600,
"Sun, Nov 8, 2015",7:00p,Phoenix Suns,103,Oklahoma City Thunder,124,Box Score,,18203,
"Sun, Nov 8, 2015",9:00p,Detroit Pistons,120,Portland Trail Blazers,103,Box Score,,19393,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Nov 9, 2015",7:00p,Orlando Magic,84,Indiana Pacers,97,Box Score,,13104,
"Mon, Nov 9, 2015",7:00p,Chicago Bulls,111,Philadelphia 76ers,88,Box Score,,13879,
"Mon, Nov 9, 2015",8:00p,Minnesota Timberwolves,117,Atlanta Hawks,107,Box Score,,12016,
"Mon, Nov 9, 2015",9:00p,Portland Trail Blazers,104,Denver Nuggets,108,Box Score,,9153,
"Mon, Nov 9, 2015",10:00p,San Antonio Spurs,106,Sacramento Kings,88,Box Score,,17317,
"Mon, Nov 9, 2015",10:30p,Detroit Pistons,95,Golden State Warriors,109,Box Score,,19596,
"Mon, Nov 9, 2015",10:30p,Memphis Grizzlies,92,Los Angeles Clippers,94,Box Score,,19060,
"Tue, Nov 10, 2015",7:00p,Utah Jazz,114,Cleveland Cavaliers,118,Box Score,,20562,
"Tue, Nov 10, 2015",7:00p,Oklahoma City Thunder,125,Washington Wizards,101,Box Score,,20356,
"Tue, Nov 10, 2015",7:30p,Los Angeles Lakers,88,Miami Heat,101,Box Score,,19825,
"Tue, Nov 10, 2015",7:30p,New York Knicks,111,Toronto Raptors,109,Box Score,,19800,
"Tue, Nov 10, 2015",8:00p,Boston Celtics,99,Milwaukee Bucks,83,Box Score,,11822,
"Tue, Nov 10, 2015",8:00p,Charlotte Hornets,104,Minnesota Timberwolves,95,Box Score,,14722,
