Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Wed, Jan 1, 2020",6:00p,Orlando Magic,,Washington Wizards,,,,,
"Wed, Jan 1, 2020",7:30p,Portland Trail Blazers,,New York Knicks,,,,,
"Wed, Jan 1, 2020",8:00p,Minnesota Timberwolves,,Milwaukee Bucks,,,,,
"Wed, Jan 1, 2020",10:30p,Phoenix Suns,,Los Angeles Lakers,,,,,
"Thu, Jan 2, 2020",7:00p,Charlotte Hornets,,Cleveland Cavaliers,,,,,
"Thu, Jan 2, 2020",7:00p,Denver Nuggets,,Indiana Pacers,,,,,
"Thu, Jan 2, 2020",7:30p,Toronto Raptors,,Miami Heat,,,,,
"Thu, Jan 2, 2020",8:00p,Utah Jazz,,Chicago Bulls,,,,,
"Thu, Jan 2, 2020",8:00p,Golden State Warriors,,Minnesota Timberwolves,,,,,
"Thu, Jan 2, 2020",8:30p,Brooklyn Nets,,Dallas Mavericks,,,,,
"Thu, Jan 2, 2020",8:30p,Oklahoma City Thunder,,San Antonio Spurs,,,,,
"Thu, Jan 2, 2020",10:00p,Memphis Grizzlies,,Sacramento Kings,,,,,
"Thu, Jan 2, 2020",10:30p,Detroit Pistons,,Los Angeles Clippers,,,,,
"Fri, Jan 3, 2020",7:00p,Atlanta Hawks,,Boston Celtics,,,,,
"Fri, Jan 3, 2020",7:00p,Miami Heat,,Orlando Magic,,,,,
"Fri, Jan 3, 2020",7:00p,Portland Trail Blazers,,Washington Wizards,,,,,
"Fri, Jan 3, 2020",8:00p,Philadelphia 76ers,,Houston Rockets,,,,,
"Fri, Jan 3, 2020",9:00p,New York Knicks,,Phoenix Suns,,,,,
"Fri, Jan 3, 2020",10:30p,New Orleans Pelicans,,Los Angeles Lakers,,,,,
"Sat, Jan 4, 2020",3:30p,Memphis Grizzlies,,Los Angeles Clippers,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Jan 4, 2020",6:00p,Toronto Raptors,,Brooklyn Nets,,,,,
"Sat, Jan 4, 2020",7:00p,Utah Jazz,,Orlando Magic,,,,,
"Sat, Jan 4, 2020",7:30p,Indiana Pacers,,Atlanta Hawks,,,,,
"Sat, Jan 4, 2020",7:30p,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,
"Sat, Jan 4, 2020",8:00p,Boston Celtics,,Chicago Bulls,,,,,
"Sat, Jan 4, 2020",8:00p,Denver Nuggets,,Washington Wizards,,,,,
"Sat, Jan 4, 2020",8:30p,Charlotte Hornets,,Dallas Mavericks,,,,,
"Sat, Jan 4, 2020",8:30p,Detroit Pistons,,Golden State Warriors,,,,,
"Sat, Jan 4, 2020",8:30p,San Antonio Spurs,,Milwaukee Bucks,,,,,
"Sat, Jan 4, 2020",10:00p,New Orleans Pelicans,,Sacramento Kings,,,,,
"Sun, Jan 5, 2020",3:30p,New York Knicks,,Los Angeles Clippers,,,,,
"Sun, Jan 5, 2020",6:00p,Portland Trail Blazers,,Miami Heat,,,,,
"Sun, Jan 5, 2020",7:30p,Minnesota Timberwolves,,Cleveland Cavaliers,,,,,
"Sun, Jan 5, 2020",8:00p,Memphis Grizzlies,,Phoenix Suns,,,,,
"Sun, Jan 5, 2020",10:00p,Detroit Pistons,,Los Angeles Lakers,,,,,
"Mon, Jan 6, 2020",7:00p,Indiana Pacers,,Charlotte Hornets,,,,,
"Mon, Jan 6, 2020",7:00p,Brooklyn Nets,,Orlando Magic,,,,,
"Mon, Jan 6, 2020",7:00p,Oklahoma City Thunder,,Philadelphia 76ers,,,,,
"Mon, Jan 6, 2020",7:00p,Boston Celtics,,Washington Wizards,,,,,
"Mon, Jan 6, 2020",7:30p,Denver Nuggets,,Atlanta Hawks,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Jan 6, 2020",8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
"Mon, Jan 6, 2020",8:30p,Chicago Bulls,,Dallas Mavericks,,,,,
"Mon, Jan 6, 2020",8:30p,Milwaukee Bucks,,San Antonio Spurs,,,,,
"Mon, Jan 6, 2020",10:00p,Golden State Warriors,,Sacramento Kings,,,,,
"Tue, Jan 7, 2020",7:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,
"Tue, Jan 7, 2020",7:00p,Portland Trail Blazers,,Toronto Raptors,,,,,
"Tue, Jan 7, 2020",7:30p,Oklahoma City Thunder,,Brooklyn Nets,,,,,
"Tue, Jan 7, 2020",8:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,
"Tue, Jan 7, 2020",9:00p,Sacramento Kings,,Phoenix Suns,,,,,
"Tue, Jan 7, 2020",10:30p,New York Knicks,,Los Angeles Lakers,,,,,
